"Body.Type","Count"
"Adventure Tourer Bikes",15
"Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes",3
"Adventure Tourer Bikes, Off Road Bikes",16
"Adventure Tourer Bikes, Sports Bikes, Off Road Bikes",1
"Adventure Tourer Bikes, Sports Tourer Bikes",2
"Adventure Tourer Bikes, Tourer Bikes, Off Road Bikes",6
"Cafe Racer Bikes",5
"Commuter Bikes",34
"Cruiser Bikes",76
"Cruiser Bikes, Cafe Racer Bikes",3
"Cruiser Bikes, Tourer Bikes",2
"Electric Bikes",1
"Moped Bikes",6
"Sports Bikes",51
"Sports Naked Bikes",30
"Sports Naked Bikes, Cafe Racer Bikes",7
"Sports Naked Bikes, Sports Bikes",7
"Sports Tourer Bikes",2
"Super Bikes",5
"Super Bikes, Sports Bikes",9
"Super Bikes, Sports Naked Bikes",3
"Super Bikes, Sports Tourer Bikes",1
"Tourer Bikes",6
